id,fuente,fecha,dia_sem,ccaa,provincia,municipio,carretera,pkm,lat,lon,fallecidos,alcohol,droga,huido,genero,ciclistas
"101",https://www.lainformacion.com/catastrofes-y-accidentes/organizaciones-de-socorro/fallece-un-ciclista-atropellado-en-la-carretera-que-une-roquetas-de-mar-con-almerimar_v8Uf95SwKog2DC9zL2G5N/,2016/03/02 15:15:00,Viernes,Andalucía,Almería,El Ejido,,,36.776942,-2.791714,"1",,,,,Desconocido
"102",https://www.elmira.es/28/04/2016/un-ciclista-muere-atropellado-por-una-moto/,2016/04/28 16:45:00,Jueves,Andalucía,Cádiz,Jerez de la Frontera,A-2003,"2",36.685308,-6.087922,"1",,,,Hombre,F.R.B
"103",http://www.elmundo.es/madrid/2016/06/17/57645ba3e2704e272e8b4579.html,2016/06/17 17:30:00,Viernes,Comunidad de Madrid,Madrid,Soto del Real,M-608,"16",40.748437,-3.797108,"1",,,,,Desconocido
"104",https://www.esciclismo.com/ampliada.asp?Id=36860,2016/02/13 10:00:00,Sábado,Andalucía,Sevilla,Trebujena,A-471,"36",36.904894,-6.06719,"1",,,Sí,,Desconocido
"105",https://www.20minutos.es/noticia/2718942/0/sucesos-ciclista-73-anos-muere-atropellado-por-camion-reparto-torrent/,2016/04/11 12:00:00,Lunes,Comunitat Valenciana,València,Torrent,CV-405,"2",39.425473,-0.502564,"1",,,,,Desconocido
"106",https://www.20minutos.es/noticia/2748654/0/fallece-ciclista-tras-ser-atropellado-por-camion-puerto-lumbreras/,2016/05/17 12:15:00,Martes,Región de Murcia,Murcia,Puerto Lumbreras,RM-D16,"1",37.566405,-1.79465,"1",,,,,Desconocido
"107",http://pedaleandoporcanarias.com/2016/06/fallece-un-ciclista-en-gran-canaria-tras-una-colision-contra-un-vehiculo/,2016/06/15 13:45:00,Miércoles,Canarias,Las Palmas,San Mateo (Gran Canaria),GC-15,,28.008764,-15.54648,"1",,,,,Desconocido
"108",https://www.tribunavalladolid.com/noticias/muere-un-ciclista-en-valladolid-atropellado-por-un-camion-en-la-va-30,2016/02/25 14:30:00,Jueves,Castilla y León,Valladolid,Valladolid,VA-30,"19",41.615981,-4.77648,"1",,,,,J.N.P.
"109",https://www.20minutos.es/noticia/2778808/0/muere-ciclista-tras-ser-atropellado-por-coche-menorca/,2016/06/21 17:30:00,Martes,Illes Balears,Illes Balears,Es Mercadal (Menorca),ME-1,"19",39.969927,4.0942549,"1",,,,,Desconocido
"110",,2017/09/13 11:30:00,Miércoles,Castilla y León,Segovia,El Espinar,N-VI,"63",40.728622,-4.238058,"1",,,,,M.G.V
"111",https://www.20minutos.es/noticia/3073696/0/muere-ciclista-toledo-atropellado-por-conductor-que-se-ha-dado-a-la-fuga/,2017/06/24 08:00:00,Sábado,Castilla y León,Toledo,Palomeque,CM-4004,"16",40.129613,-3.955186,"1",,,Sí,,Desconocido
"112",https://www.diarioinformacion.com/alicante/2017/06/12/muere-ciclista-atropellado-conductor-drogado/1905047.html,2017/06/11 08:00:00,Domingo,Comunitat Valenciana,València,Oliva,N-332,"210",38.909289,-0.099236,"1",,Sí,Sí,Hombre,Alejandro Jaén
